RANK,TEAM,ABB,GP,W,L,WIN%,OFFRTG,DEFRTG,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PM
1,Boston Celtics,BOS,42,32,10,0.762,120.3,110.6,48.6,120.4,43,90.3,47.7,16.2,42.6,38,18.2,22.6,80.5,11,36.4,47.3,25.4,12.7,6,6.3,3.9,17.4,18.9,9.7
2,Minnesota Timberwolves,MIN,42,30,12,0.714,114,108.5,48.2,113.1,41,84,48.8,12.2,31.7,38.6,18.8,24,78.3,9.1,35,44.1,26.2,15.4,8,6,4.7,19.6,20.6,5.8
3,Milwaukee Bucks,MIL,42,29,13,0.69,120.7,116.9,48.4,124.6,44.9,89.7,50,14.3,37.5,38,20.6,26.5,77.7,9.6,34.8,44.3,26.7,13,7,5.5,4.4,20.2,20.4,4
3,Oklahoma City Thunder,OKC,42,29,13,0.69,119.8,111.7,48.2,121.7,44.8,88.9,50.4,13.1,33.5,39.1,19,22.7,84,8.4,32.6,41,27.4,12.5,8,6.4,5.2,20.2,19.7,8.1
5,Philadelphia 76ers,PHI,41,28,13,0.683,119.5,111.1,48.2,119.5,42.3,89.1,47.5,12,32.2,37.1,22.8,27.2,83.9,10.9,32.7,43.6,25.3,12.2,9,6.1,6,20.6,20,8.2
6,Denver Nuggets,DEN,44,30,14,0.682,118.7,113.4,48,115.9,44.3,88.8,49.9,11.7,31.2,37.6,15.7,20.9,75,10.8,33.3,44,29.3,12.6,7,5.4,5,18.8,18.9,5
7,LA Clippers,LAC,41,27,14,0.659,119.6,113.9,48.1,117.8,43,87.1,49.3,13.2,33.2,39.8,18.7,23.1,80.9,10.4,32.7,43.1,25.8,13.2,8,5.3,4.6,19.8,20,5.8
8,Cleveland Cavaliers,CLE,40,25,15,0.625,114.7,110.8,48.3,113.7,42.3,88.9,47.6,13,36.8,35.4,16,20.8,77,11.1,34.2,45.3,26.8,14,8,4.5,5.3,19,19.4,3.8
9,New York Knicks,NYK,43,26,17,0.605,117.3,112.5,48,115.2,41.5,89,46.6,13.3,35.6,37.2,18.9,24.2,77.9,12.6,33.7,46.3,24,13.9,7,3.8,5.3,18.7,20.4,4.6
10,New Orleans Pelicans,NOP,43,25,18,0.581,117.2,112.6,48.1,116.7,42.6,87.6,48.6,12.1,31.7,38.2,19.4,25.3,76.7,11,33.2,44.2,26.9,13.3,8,4.7,5.2,19.5,19.7,4.4
11,Dallas Mavericks,DAL,42,24,18,0.571,117.5,116.5,48,118.5,42.7,90.5,47.2,15.1,41.1,36.8,17.9,23.6,76,10.3,31.6,41.9,25.2,12.2,7,4.5,3.8,18.9,21.4,1.1
11,Indiana Pacers,IND,42,24,18,0.571,121.4,119.5,48,125.4,46.9,92.5,50.7,14.3,37.3,38.3,17.4,21.9,79.3,10,30.5,40.5,31.1,13.6,8,6.2,5.7,22.6,18.9,2.1
