RANK,TEAM,ABB,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
1,Boston Celtics,BOS,42,32,10,2041,120.3,110.6,9.8,59.1,2,18.2,29.1,72.8,51.7,12.7,56.6,60.1,98.88,54.6,"4,203"
2,Denver Nuggets,MIN,44,30,14,2112,118.7,113.4,5.3,66.1,2.32,20.8,30.3,71.7,51.5,12.9,56.5,59.2,97.73,53,"4,296"
2,Minnesota Timberwolves,MIL,42,30,12,2026,114,108.5,5.5,63.8,1.7,19,27.9,72.3,51.4,15.5,56.1,59.8,98.56,54.4,"4,166"
4,Milwaukee Bucks,OKC,42,29,13,2031,120.7,116.9,3.7,59.6,2.05,18.8,26.4,71.8,50.1,12.6,58,61.5,102.45,51.6,"4,337"
4,Oklahoma City Thunder,PHI,42,29,13,2026,119.8,111.7,8.1,61.2,2.19,19.6,24.6,67.5,47.4,12.3,57.7,61.5,101.18,54.3,"4,267"
6,Philadelphia 76ers,DEN,41,28,13,1978,119.5,111.1,8.3,59.9,2.07,18.1,30,69.8,50,12.2,54.2,59.1,99.54,53.5,"4,100"
7,LA Clippers,LAC,41,27,14,1973,119.6,113.9,5.6,60.1,1.96,18.7,29.8,70.8,51,13.4,56.9,60.6,98.19,53.2,"4,040"
8,New York Knicks,CLE,43,26,17,2064,117.3,112.5,4.8,57.9,1.73,17.3,33.5,73.9,53.4,14.2,54.1,57.8,98.26,51.5,"4,223"
9,Cleveland Cavaliers,NYK,40,25,15,1930,114.7,110.8,3.9,63.3,1.92,19.1,29.8,71.9,51.1,14.1,55,58,98.66,52.6,"3,965"
9,New Orleans Pelicans,NOP,43,25,18,2069,117.2,112.6,4.6,63.1,2.03,19.2,29.1,71.4,50.6,13.3,55.5,59.1,99.41,52.4,"4,281"
11,Dallas Mavericks,DAL,42,24,18,2016,117.5,116.5,1,59.1,2.07,18.1,26.8,68.4,47.4,12.1,55.5,58.7,100.81,49.7,"4,235"
11,Indiana Pacers,IND,42,24,18,2016,121.4,119.5,1.9,66.5,2.28,21,29,68.9,48.9,13.2,58.4,61.4,103.18,51.1,"4,336"
11,Miami Heat,PHO,43,24,19,2069,113.4,113,0.4,65.2,1.91,18.9,27.2,72.3,49.8,13.8,53.7,58,97.6,50.1,"4,204"
14,Orlando Magic,SAC,43,23,20,2079,112.3,111.2,1.1,60.5,1.66,17.7,30.4,72.4,51.2,14.8,53,56.9,98.86,50.9,"4,279"
14,Phoenix Suns,MIA,41,23,18,1983,117.1,115.2,1.8,63.3,1.79,18.8,30.7,70.8,51.6,14.8,55.4,59.8,98.41,52.3,"4,065"
14,Sacramento Kings,ORL,41,23,18,1993,116.5,116.1,0.3,66.3,2.13,20,28.3,73.8,50.2,13.4,56,58.5,100.29,49.1,"4,163"
17,Utah Jazz,UTH,44,22,22,2137,114.9,116.7,-1.7,66.3,1.74,19.2,33.7,71.6,52.9,15.8,54,58.1,100.72,49.7,"4,490"
18,Chicago Bulls,LAL,44,21,23,2142,112.5,114.2,-1.7,59.1,1.97,17.8,28.9,71.1,49.6,12.6,52.7,56.1,96.82,48.8,"4,325"
18,Los Angeles Lakers,HOU,43,21,22,2074,112.5,114,-1.5,65.9,1.96,19.8,24.8,73.1,49.8,14,55,58.6,101.08,51.1,"4,369"
20,Houston Rockets,CHI,41,20,21,1988,113.1,112.6,0.5,60.2,1.94,17.9,28.4,72.1,50.2,12.8,52.8,56.5,98.55,50.3,"4,083"
21,Atlanta Hawks,GSW,42,18,24,2031,116.7,119,-2.4,59.3,1.82,17.7,31.6,70,50,13.7,53.8,57.8,102.13,48,"4,322"
21,Golden State Warriors,ATL,40,18,22,1935,116.5,117.7,-1.2,66.8,1.93,19.4,32.2,71.8,51.8,14.5,54.6,58.2,99.73,49.3,"4,024"
23,Brooklyn Nets,BKN,42,17,25,2031,115,116.5,-1.5,62.7,2.08,18.7,30.4,71.7,50.6,12.7,53.4,56.5,98.59,49,"4,170"
24,Toronto Raptors,TOR,43,16,27,2074,114.9,116.5,-1.6,68.5,2.24,20.6,28.6,71.1,49.5,13.2,54.7,57.5,99.44,49.5,"4,292"
25,Memphis Grizzlies,MEM,42,15,27,2026,107.7,113.6,-5.9,63.5,1.69,17.8,27.5,70.7,48.5,14.6,51.5,55,99.59,46.4,"4,205"
26,Portland Trail Blazers,POR,41,12,29,1988,107.6,116.8,-9.2,56.4,1.46,16,31.3,68.9,48.8,15.1,50.1,53.8,98.89,42.6,"4,096"
27,Charlotte Hornets,CHA,40,9,31,1930,109.1,120.7,-11.6,60.7,1.75,18,28,70.4,48.3,14.2,52.3,55.5,98.77,44,"3,972"
28,San Antonio Spurs,SAS,42,8,34,2026,109,117.8,-8.8,69.6,1.99,20.2,25.9,71.1,48,14.2,53,56.1,102.67,46.9,"4,336"
29,Washington Wizards,WAS,42,7,35,2016,111.8,120.7,-8.9,64.3,2.06,19.5,23.3,66.3,44.7,13.1,54.4,57.5,103.36,45.6,"4,336"
30,Detroit Pistons,DET,42,4,38,2026,110.4,120.8,-10.4,62.9,1.67,18.6,29.1,72,50.1,15.5,53.3,56.8,101.34,44.5,"4,277"
