RANK,TEAM,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,LAST10,STREAK
1,Minnesota Timberwolves,29,11,0.725,--,20-6,5-1,16-2,13-9,1-1,6-4,W 3
2,Oklahoma City Thunder,27,13,0.675,2,15-10,6-2,16-5,11-8,2-0,6-4,L 2
3,Denver Nuggets,28,14,0.667,2,17-10,2-4,17-4,11-10,0-0,6-4,L 1
4,LA Clippers,26,14,0.65,3,20-11,6-3,17-4,9-10,0-1,8-2,W 1
5,New Orleans Pelicans,25,17,0.595,5,17-15,5-6,13-8,12-9,0-1,7-3,W 1
6,Sacramento Kings,23,17,0.575,6,15-13,5-5,13-7,10-10,3-1,5-5,L 3
7,Dallas Mavericks,24,18,0.571,6,18-15,7-5,13-9,11-9,0-0,6-4,L 1
8,Phoenix Suns,22,18,0.55,7,15-14,5-7,12-11,10-7,2-0,7-3,W 3
9,Utah Jazz,22,20,0.524,8,12-15,4-5,15-5,7-15,2-1,9-1,W 6
10,Los Angeles Lakers,21,21,0.5,9,16-14,5-3,15-7,6-14,1-1,4-6,W 2
11,Houston Rockets,19,21,0.475,10,14-10,7-2,15-6,4-15,0-3,4-6,L 3
12,Golden State Warriors,18,22,0.45,11,11-17,3-6,11-11,7-11,1-2,3-7,L 2
13,Memphis Grizzlies,15,25,0.375,14,12-20,6-6,4-15,11-10,1-1,5-5,W 1
14,Portland Trail Blazers,11,29,0.275,18,5-23,1-6,6-12,5-17,2-2,3-7,W 1
15,San Antonio Spurs,7,33,0.175,22,5-19,1-7,3-16,4-17,1-1,2-8,L 3
